Nama	Alamat	Email	website	Telp	Fax	Pengasuh
Pesantren Al-Ishlah Tajug (Putra-Putri)	Jl. Raya Sudimampir - Sliyeg Indramayu Jawa_Barat 	  al_ishlahtajug@yahoo.co.id	-	 0234-353074, 353028 	 0234-353028 	K.H. Imam Mawardi Hakiem
Pesantren Al-Ikhsan (Putra-Putri)	Jl. Raden Fatah, Sidamulya, Wanareja, Cilacap Jawa_Tengah	-	-	 	-	KH Misbah Ali Mahfudz
Pesantren Al-Madiniah (Putri)	Perumahan Anggrek Mas Riau	-	-	 	-	
Pesantren Al-Qur'an Fathimiyah (putra-putri)	JL. Setia Warga I Jati Ranggon Jati Sampurna Kota Bekasi Jawa Barat 	  fathimiyahjatiranggon@ymail.com	-	 021-84590760  	-	H. Mulyadi Efendi, MA
Pesantren Al-qur'an KH Abdullah Syafi'ie (putra-putri)	Jl. Raya Sukabumi Cianjur Pulo Air Sukalarang Sukabumi JABAR	-	-	 0266-260260  	-	
Pesantren Al-Urwatul Wutsqo Indramayu (200 Orang)	Jl. Sempurna No. 32 Terusan, Sindang, Indramayu Jawa Barat 	  pp.al_urwatulwutsqo@yahoo.co.id	  http://klik-wutsqo.blogspot.com 	 0234-273460 	 - 	KH. M. Yunus Rasyidi, Drs
Pesantren Alfa (Putra-Putri)	Jl. masjid II B no.50 Wonosobo Jawa_Tengah 	  fatanugraha@yahoo.co.id	-	 081328654767  	-	Ahmad Muzan S.Pdi
Pesantren AN-Nur Nasy'atul Wardiyah (putra-putri)	Jalan Pangeran Diponegoro Desa Kertanegara Kecamatan Haurgeulis Kabupaten Indramayu 45264 Jawa Barat 	  naswast@yahoo.co.id	-	 0852 9447 7747  	-	Ust. Asep Shoheh SS
Pesantren Anak Kafa Hasbuna (Putra-Putri)	Jl. Ringin I No. 046 Ringinsari Maguwoharjo Depok Sleman 55282 DI_Yogyakarta 	  -	  - 	 0274-6596076 	 - 	Hudalloh, S.Ag
Pesantren Anak-anak Baiquniyyah (250 santri)	Jejeran wonokromo pleret Bantul Yogyakarta	-	-	 02744415058  	-	KH.IMADUDDIIN
pesantren asrama pelajar fatanugraha (Putra-Putri)	Jl. masjid II B no.50 Wonosobo Jawa_Tengah 	  fatanugraha@yahoo.co.id	-	 081328654767  	-	ustadz ahmad muzan s.Pdi
pesantren asroriah (Putra)	pati, jawa tengah Jawa_Tengah	-	-	 	-	abdul wahab bin suqohar
Pesantren Asy-syafi'iyyah	Kedungwungu Krangkeng Indramayu Jabar Jabar	-	-	 0234-485327-485534-485993  	-	KH.AFANDI ABDUL MUIN SYAFI'I
Pesantren At-Tahdzib (putra-putri)	Jl. Raya Rejoagung, Ngoro, Jombang Jawa Timur 	  dpp_psw@yahoo.co.id	  http://smkihsanniat.blogspot.com 	 0354-326839 	 0354-326839 	Al Mukarrom KH Agus Masruh
Pesantren At-Tarbiyah (100 orang)	Jl. Licin No.1 Rt.02/01 Licin Cimalaka Sumedang Jawa Barat 	  omufie@yahoo.com	-	 081394071791  	-	Oom Komarudin
Pesantren Cikanyere (287 orang)	Dusun Cigoong RT 01,RW 01 Desa Sirnabaya Kecamatan Rajadesa Kabupaten Ciamis Jawa Barat	-	-	 02652795876  	-	K.A.Ahmad Hidajat
Pesantren Cintawana (1652)	Pondok Pesantren Cintawana Kec. Singaparna Kab. Tasikmalaya Jawa Barat 	  ypc_pst@yahoo.co.id	-	 0265-545414 	 0265-546717 	K. Asep Sujai Farid
Pesantren Cipari (Putra-Putri)	Kp Cipari Ds Sukarasa Kec Pangatikan Garut Jawa_Barat	-	-	 	-	KH Amien Bunyamin Lc.
pesantren Cipasung (Putra-Putri)	Cipasung singaparna tasikmalaya Jawa_Barat 	  admin@cipasung.com	  http://www.cipasung.com 	 (0265)545832 	 (0265)544367 	KH. Dudung Abdul Halim MA
Pesantren Daar Es-Salaam (Putra-Putri)	Jl. Raya Kresek-Balaraja Ds. Patrasana Kec. Kresek Kab. Tangerang Banten 	  akasy_ah@yahoo.com	  - 	 (021) 59380321 	 - 	Ustadz Akasyah, S. Ag, MM.
Pesantren Darul Amanah (Putra-Putri)	Ngadiwarno Sukorejo Kendal Jawa_Tengah	-	-	 0294 452473  	-	KH. Mas'ud Abdul Qodir
Pesantren Darul Arqam Garut (putra-putri)	Jl. Ciledug 284 jawa barat 	  info@mahaddarularqamgarut.sch.id	  www.mahaddarularqamgarut.sch.id 	 	-	
pesantren darul fallah (putra-putri)	jl. raya bogor-ciampea km 12 bogor jawa barat 	  info@darulfallah.org	  www.darulfallah.org 	 02518622278 	02518622303	kh. abdul hanan abbas, lc
Pesantren Darul Istiqamah Cab. Bulukumba (Putra-Putri)	Jl. Poros bulukumba-Sinjai KM5, Poncy, desa Polewali, Kec. Gantarang, Kab. Bulukumba Sulawesi_Selatan	-	-	 	-	M. Iqbal Coing
pesantren darularafah	desa laubakeri, kab.deliserdang, sumut Sumatera_Utara	-	-	 	-	h.a.naga lubis
Pesantren DARUNNAJAH CIPINING (putra-putri)	Jl. Argapura Kotak Pos 1 Jasinga Bogor 16670 Jawa Barat 	  trendarunnajah@yahoo.com	  www.darunnajah-cipining.com 	 0251-7140876,  081514194006  	-	KH. Jamhari Abdul Jalal, Lc
Pesantren Darussalam (Putra-Putri)	Kp.Soge RT/RW 01/01 Ds.Patrasana Kec.Kresek Kab.Tangerang Banten 	  akasy_ah@yahoo.com	  - 	 021-59380321 	 - 	Ustadz Drs. Afifi, Ustadzah Asfiyah
PESANTREN DARUSSALAM JURUSAN TARBIYAH STAIN SOLO (Mahasiswa)	GERJEN PUCANGAN KARTASURA 57168 Jawa_Tengah 	  tarbiyah-staisurakarta@yahoo.co.id	  www.stain-surakarta.ac.id 	 0271 781516 	 0271 782774	
Pesantren DDI Lil Banat Ujung Lare Parepare (Putri)	Jl. Abu Bakar Lambogo Parepare Sul-sel Sulawesi_Tenggara	-	-	 	-	Prof. Dr. K.H. Abd. Muiz Kabry
Pesantren Debus (Mahasiswa)	Jl.Astrako No:50 Banten 	  the_splinter@yahoo.com	-	 08132433333 	0813342566	widodo
Pesantren Duafa Al Mukhlashin (Putra-Putri)	Kp. Babakan Peuteuy RW 09 Desa Ciluncat, Kec. Cangkuang, Kab. Bandung Jawa_Barat 	  sarnapi@yahoo.co.uk	  - 	 081321115578 	 - 	Ustaz Murtadga Asadillah
Pesantren Fajar Dunia (Putra-Putri)	Jl Palasari Timur no 50 Desa Mampir, Cileungsi, Bogor Jawa_Barat 	  latieftqn@yahoo.com	-	 02198191501 	81932888400	Kyai Abu Arif, Lc
Pesantren Fathurridlo (Mahasiswa)	Jl. H. Z. Mustofa Blk. 348 Cibaregbeg Tasikmalaya Jawa_Barat 	  fathurridlo@yahoo.com	-	 (0265) 333815  	-	Drs. K.H. Lukmanulhakim, S.H.
Pesantren Hasyim Asy'arie Yogyakarta (Putra)	Jl Paris Km 7, kec. sewon, Kab. Bantul Yogyakarta DI_Yogyakarta 	  ppm_hamasy@yahoo.co.id	  www.hamasy.net.id 	 0274 379 406 	 - 	Nyai Hj. Maya Veri Octavia
Pesantren Hidayatullah Malang (Putra-Putri)	Jl. Raya Jambu 01 Sumbersekar Dau Malang Jawa_Timur 	  hirzia@sahid.every1.net	  www.hidayatullah.com 	 0341-532088  	-	Tim/dewan pengasuh
Pesantren Husnul Khotimah (Putra-Putri)	Ds. Manis Kidul, Kec. jalaksana, Kab. Kuningan Jawa_Barat 	  info@husnulkhotimah.org	  www.husnulkhotimah.org 	 0232 613808  	-	KH. Sufyan Noor, Lc
Pesantren Islam Al Iman Muntilan (Putra-Putri)	Jl. Talun Km 1 Patosan Sedayu Muntilan Po Box 117 Magelang Jawa Tengah 56412 Jawa_Tengah 	  pondokiman@yahoo.com	-	 (0293)587367  	-	K. Muhammad Zuhaery, MA
Pesantren Ilmu Qur'an (PIQ) (Putra)	Jl. Raya Singosari Malang Jawa_Timur	-	-	 	-	K.H. Bashori Alwi
Pesantren Kananga	Desa Kananga Kecamatan Menes Kabupaten Pandeglang Provinsi Banten Jawa_Barat	-	-	 	-	KH. Abdul Hakim
Pesantren Luhur (Mahasiswa)  Mutiara bangsa  (Mahasiswa)	Jl. Joglo Rt. 002 / Rw. 007 Kel. Kukusan Kec. Beji Kota Depok (Belakang Kampus Universitas Indonesia) Jawa_Barat	-	-	 08998272453 	02199684966	Ust. Adin Jauharuddin;Ust. Shalahuddin;Ust. Atoullah;Ust. M. Yunus;
Pesantren Mahasiswa Al-Hikam (Mahasiswa)	Jl. Cengger Ayam 25 Malang Jawa_Timur 	  al-hikam@telkom.net	  www.alhikam.or.id 	 0341-495375 	 0341-475387 	DR. KH. Hasyim Muzadi
Pesantren Mahasiswa Daaru Hiraa (Mahasiswa)	Dsn Malangrejo Wedomartani Ngemplak Sleman 55584 DI_Yogyakarta 	  daaru-hiraa@telkom.net	  daaru-hiraa.multiply.com 	 0274884640 	0274884640	KH.Tulus Musthofa,Lc,.MA,.Dr
Pesantren Mahasiswa Qolbun Salim (Mahasiswa)	Jl tamansiswa no 16 Gunungpati Semarang Jawa_Tengah 	  pesmaqolbunsalim@myquran	  www.qolbunsalim.org 	 085225562873 	 - 	Ustd Ari Purbono & Ustad Habiburrahman Lc
Pesantren Mahasiswa Surya Global Az-Zahra (Mahasiswa)	Jl. Gambiran 115 Yogyakarta DI_Yogyakarta 	  iinfo-pesantren@stikes-suryaglobal.ac.id	  www.stikes-suryaglobal.ac.id 	 0274-7860767, 7019020 	 0274-415128 	H. Anung Sholeh Pranowo
Pesantren Mahasiswa UMY (University Residence) (Mahasiswa)	Komplek Kampus Terpadu UMY, Tamantirto Kasihan Yogyakarta DI_Yogyakarta 	  Uniresumy@yahoo.com	  Umy.ac.id 	 0274 387656 	 0274 387646 	Ghoffar Ismail, S,Ag,, M.A.
Pesantren Mahasiswa: Ulil Albaab	Jl. Raya Dramaga, KM.6(Dekat Kampus IPB) Bogor Jabar	-	-	 	-	Ust. Dr. Didin Hafidhuddin
Pesantren Majmaal Bahrain Shiddiqiyyah (Putra-Putri)	Ds. Losari Kec. Ploso Kab. Jombang Jawa_Timur 	-	  www.shiddiqiyyah.org	 	-	Kyai Muchammad Muchtar
Pesantren Manbaul Falah (putra-putri)	Pasirawi Rawamerta Karawang Jawa Barat 	  contact@ppmf.info	  ppmf.info 	 02677001664  	-	Dadan Santosa RK
Pesantren Miftahul Jannah (Putra-Putri)	Kp. Jatiragas Ds. Jatibaru Kec. Jatisari Kab. Karawang Jawa_Barat 	  dede.mathla@gmail.com	-	 	-	KH. Jejen Nasirul Huzin
PESANTREN MODERN AL-ISTIQOMAH	JLN.RAYA SUKABUMI KM 17 DESA CARINGIN ,RT 03/04 DESA CARINGIN KECAMATAN CARINGIN Jawa_Barat 	-	  www.mts yastiq.sc.com	 0251-220594,08170926776.081802  	-	
Pesantren Modern Daar El Falaah (putra-putri)	Jl. Raya Pari KM. 17 Mandalawangi Pandeglang Banten 	  info@darelfalaah.or.id	  www.darelfalaah.or.id 	 02535211991;02535211992;02535211993;02535211994;02535211995 	02535211993	K.H. Muhammad Ma'mun
Pesantren Modern Daarul Uluum Lido (Putra-Putri)	Jl. HE. Sukma KM.22 Muara Cigombong Bogor Telp. 0251-224754 Jawa_Barat 	-	  www.daarululuumlido.co.cc	 0152-224754 	 0251-224305 	KH. Drs. AHmad Yani
Pesantren Modern Darul Huda (putra-putri)	Jl. Pesantren Desa Sungai Sagu Kec. Lirik Kab. Indragiri Hulu Riau 	  pesantrenmodern_darulhuda@yahoo.com	-	 081371738685  	-	Drs. Shaprialdi
Pesantren Modern IMMIM (Putra-Putri)	Jl.Perintis Kemerdekaan Km.10 Tamalanrea Makassar Sulawesi_Selatan 	-	  http://pesantrenimmim.ac.id	 0411-513-0001 	 0411-513-0002 	Ustadz Lukman Hakim
pesantren modern Tarbiyah (Putra-Putri)	jl. manila dg pati Palleko takalar Sul-Sel Sulawesi_Selatan	-	-	 	-	Prof.DR. Hamka Haq, MA
PESANTREN MODERN TERPADU PROF. DR. HAMKA (putra|-|)	Jln. Raya Padang-Bukittinggi km 28 Pasar Usang, Padang Pariaman Sumatera Barat	-	-	 0751471081 	0751471081	H. Rosmir Amir
Pesantren Nurul Abroar (Putra-Putri)	Jln Kitapa Gang Ali Rahman I No 283 Rt 03/01 Serang 42112 Banten 	  fazwa_na@yahoo.co.id	-	 (0254)204941  	-	H Faiz Romdoni AR
Pesantren Nurul Fajar Al-Ma'sum (putra-putri)	Jl. Raya Segeran Ds. Segeran Kec. Juntinyuat Kab. Indramayu Jawa Barat 	  pesantrennurulfajar@gmail.com	  http://pesantrennurulfajar.blogspot.com 	 0234-484557  	-	KH. Abdul Aziz Ma'sum, B.A.
Pesantren Nurul Fajar Al-Ma'sum (putra|-|)	Ds. Segeran Kec. Juntinyuat Kab. Indramayu 45282 Jawa Barat 	  pesantrennurulfajar@gmail.com	  www.ppnurulfajar-segeran.co.cc 	 (0234) 484557  	-	KH. Abdul Aziz Ma'sum, BA.
Pesantren Pembangunan Muhammadiyah Tana Toraja (putra|-|)	Jl. Poros Makale-Makassar Km. 12 Ge'tengan Kec. Mengkendek Kab. Tana Toraja Sulawesi Selatan 	  ponpesmuh@yahoo.com	  http://pesanmuh.co.cc 	 0423 22726 / HP. 081342230130 	 0423 22726 	Drs. A. Zainal Muttaqien
Pesantren pindidikan islam parigi  (Putra-Putri)	Habirau tengah daha selatan nagara.HSS.Kal-sel Kalimantan_Selatan	-	-	 	-	KH.Busairy.
Pesantren Pondok Iqro (Mahasiswa)	Kampung Lio No. 122 RT/RW 07/01 Cipamokolan Rancasari Kota Bandung, 40292 Jawa_Barat	-	-	 0227531657  	-	Ram-Ram Mukhlis Ramdlani
Pesantren Pondok Madinah Putri (Putri)	Jalan Arung Teko, Sudiang, Makassar, 90242 Sulawesi_Selatan	-	-	 0411-4811224, 4811225  	-	H.Dzulkifli Dinar, Lc.
Pesantren Pramuka ALHIRA (Putra-Putri)	J. Padangpanjang-Bukittinggi KM. 8 Aie Angek, X Koto, Tanah Datar Sumatera_Barat	-	-	 0752-498888 	 0752-498888 	Hasrudaya, S.Ag
Pesantren Putri An-Nuriyah	Wonocolo Utara V / 18 Surabya 60237 Jatim	-	-	 031) 8494437 HP. 0818312177  	-	Nyai Hj. Ainur Rahmah
Pesantren Raudlotul Ihsan (RI)	Sobang Panimbang Pandeglang Banten Jabar 	  ya_rodli@yahoo.co.id	-	 (0253) 881666/804254  	-	H. abdul jalil
Pesantren Riyadus sharfi wal mantiq,Jamanis (Putra-Putri)	Jl.Cigugur Km.03 Pasirkiara Karangbenda Kec.Parigi Kab.Ciamis 46393 Jawa_Barat	-	-	 	-	KH.Udin Nawawi
Pesantren Santun Muhammadiyah Cirebon (Mahasiswa)	Jln. Pilang Raya Gg. Lantoro No. 2 Cirebon Jawa_Barat 	  razi_ratnaaziz@yahoo.com	-	 085659884777  	-	Drs. Abdul Aziz Munawwar, M.Ag
Pesantren Tahfidzul Qur'an (Putra-Putri)	Jl. Manggis Ciganjur, Jagakarsa, Jakarta Selatan 12630 DKI_Jakarta	-	-	 021 78880286  	-	Drs. H. Syamsu Iskandar Akt
Pesantren Tahfidzul Quran Maunah Sari (Putra-Putri)	Jl KH Agus Salim 08 Bandar Kidul Kediri Jawa_Timur	-	-	 0354774927  	-	KH Abdul Hamid Abd Qodir
pesantren Tarbiyatil Qur'an (putra)	jln. perusahaan no. 40 karanglo km2 tunjungtirto singosari MALANG jawa timur	-	-	 cp 085646679559  	-	Ustazd. Muhamad Alwi
PESANTREN TERPADU AL KAHFI (putra-putri)	Jl SPN Lido Srogol Cigombong Bogor Jawa Barat 	  infoalkahfi@yahoo.com	  www.pesantrenalkahfi.com 	 0251 8224621 	 0251 8224624 	KH. Ajid Muslim, Lc
Pesantren Terpadu Al Kautsar Lahat (Putra-Putri)	Jl. Tanjung Payang Kec. Lahat, Kab.Lahat Sumatera_Selatan	-	-	 326665/326667  	-	KH. Nur Khayin Muhdlor, LC
Pesantren Terpadu Arafah (Mahasiswa)	Jl.Palka Km 7 Pabuaran Serang 42163 Banten 	  lp3it_arafah@yahoo.com	-	 085280831615  	-	Fatkhurrohman,S.Mn
Pesantren Terpadu Hayatan Thayyibah (Putra)	Jl. Karamat no. 123 Sukabumi Jawa_Barat 	-	  www.sma-hayatanthayyibah.sch.id	 (0266) 229851 	 (0266) 229849 	Drs. H. Ahmad Dzaki Salim
Pesantren Terpadu SMP IT Daarul Fikri (Putra-Putri)	Kp. Warungbambu Rt.001/09 Telaga Murni Kec. Cikarang Barat Kab. Bekasi Kode Pos 17481 Jawa_Barat 	  daarulfikri2003@yahoo.com	  - 	 (021) 8904078-79 	 - 	H. Ahmad Husein Dahlan, Lc
Pesantren Yatim Al Ihsan Surakarta (putra)	Jl Apel III RT 03 RW II Jajar Laweeyan Surakarta 57144 Jawa Tengah 	  pestimaa@gmail.com	  www.lazisjateng.or.id 	 0271 7956736  	-	Ust. Ahmad Syaifudin
Pesantren Yatim Saleha Assalaam (putra)	Jl. Buahbatu Dalam V Bandung Jawa Barat 	  z_asikin@yahoo.co.id	-	 085860798999  	-	KH. Zaenal Asikin
pesantren/dayah daruzzahidin (putra-putri)	jl.blang bintang lama km.10 desa lam ceu kec.kuta baro kab.aceh besar nad 	  daruzzahidin@yahoo.com	  www.daruzzahidin.com 	 08126927229 	 0651 - 29164 	Tgk.H.Abdul Razak -Tgk.Muhammad Abdullah
PESMA TANWIRUL FIKR (Mahasiswa)	Sawah Karang Rt 03 / 23 Jebres Surakarta Jawa_Tengah 	  mbah_ei@yahoo.co.id	  - 	 02717096262 	 - 	Wahid Ahmadi dan Ustadz Abdul Hakim
PIQ Singosari	Jl. Raya 107 Singosari Malang Jatim	-	-	 	-	KH Bashori Alwi
PM. Al-Jauhar (putra-putri)	Jl. Abd. Rahman RT. 03 RW. 08 Kel. P. Pudu Duri Riau 	  saviajr@yahoo.com	-	 076592565  	-	Ust. Azwar Ilyas, Ust. Ichsanuddin, Ust. Nurdiyanto Husnul Hadi
pndok pesantren AL-WIQOYAH (sekitar 20 orang)	Dsn mulyadadi RT04 RW04 Ds kamulyan Kec bantarsari Kab cilacap Jawa Tengah	-	-	 081315639777  	-	Ust. Mustolih ishak
pompes AL BADRI (Putra-Putri)	Jl. arjasa - kalisat kotok jember Jawa_Timur	-	-	 	-	KH. HAFIDZ HASBULLAH
Pon - Pes MHI {Mamba'ul Khoiriyah Al Islamiyah} (Putra-Putri)	Jl Balung 27 Bangsalsari Jember Jatim Po Box 2776 Jawa_Timur 	  www.putugedehaleem@yahoo.com	-	 0331 712894,081555781919 	-	KH.Abdurrohim Halim,K.Ma,fu Ridwan.KH.Abdul Halim Halimy
PON PES AKN MARZUQI (Putra-Putri)	Ds. selempung  Kec. dukuhseti Kab.pati Prov. jawa tengah Indonesia Jawa_Tengah 	  ppaknmarzuqi@plasa.com	  www.ponpesaknmarzuqi.com 	 0295 452737 	 0295 452767 	Simbah KH. Ahmad Khoirun Nasihin Marzuqi
Pon Pes Al-Anwar An-Nuur (Putra-Putri)	Ds. Maron, Kec. Loano, Kab. Purworejo, Jateng Jawa_Tengah	-	-	 	-	KHR. Rofiq Chamid
PON PES ISLAM TERPADU MANSYAUL HIKAM (PIT eMHa) (Putra-Putri)	Cipatat 02/01 Sekarwangi Buahdua 45391 Sumedang Jawa_Barat 	  mansyaulhikam.yahoo.com	-	 081573672650  	-	Ustadz M Nurpahmi H
Pon pes miftahul falah (putra|-|)	Jl.mr.cokrokusumo. Bumi berkat 1. Rt 02 rw 01.sei besar. Banjarbaru Kalimantan selatan	-	-	 0511 4787531  	-	KH.GAZALI RAHMAN HUSNI
Pon-pes Al-Mubarok (Putra-Putri)	Jl. Urip Sumoharjo V/166 Medono Pekalongan 51111 Jateng Jawa_Tengah	-	-	 0285-7906369  	-	KH Zakaria Anshor
Pon-pes Bahrul 'Ulum (Putra-Putri)	Jl. Dieng 30 Sirandu Mulyoharjo Pemalang 52319 Jawa_Tengah	-	-	 0284321173  	-	KH. Slamet Zaeni
Pon-Pes Roudlotul Qur'an (Putra-Putri)	Jl.Puskesmas Padurenan, Ciburayut, Cigombong, Bogor Jawa_Barat 	  hanusman@yahoo.co.id	-	 08128215819  	-	KH. Muhammad Farhan Usman
Pon. Pes Al Anwar (putra-putri)	Jln. Dieng Km 6 Wonosobo Jawa Tengah	-	-	 	-	KH. Raden Mu'tikun Asnawi
PON. PES. PUTRA PUTRI MASYARIQUL ANWAR (Putra-Putri)	Babakan Selatan Desa Babakan Kec. Ciwaringin Kab. Cirebon 45167 Jawa Barat Jawa_Barat	-	-	 0231 342189, 0231 344355  	-	K.H. Makhtum Hannan, Hj. Aminah, K.H. Rochmat Makhtum, Hj. Khulwiyatul Aula
PON.PES ASH-SHUUFIYAH (111)	Jl. K.H. Abdul Kholiq Kencong Jember Jawa Timur	-	-	 	-	KH.Abdul Kholiq,
Pon.Pes Salafiyah MA'DINUL'ULUM (Putra-Putri)	Jln. sukomakmur 73 Campurdarat,Tulungagung Jawa_Timur 	  madinululum@yahoo.co.id	http://www.pontrenmadinululum.radiomadufm.com 	 0355 531051  dan 533333  	-	KH.AHMAD BADJURI, KH.Drs.Ma'dhum Ali Ma'dhum, KH. Ali Mas'Ud.SH
Pon.Pes. Bangun Jiwo (KH. Drs.H. Muslih Ilyas) (Putra-Putri)	Lemah dadi Kasihan Bantul Yogyakarta DI_Yogyakarta 	  pp.bangun_jiwo@yahoo.com	-	 (0274)419680, HP. 0816687947  	-	KH. Drs. H. Muslih Ilyas
Pond pest Al-Mimbar (Putra-Putri)	Sambong dukuh Jombang Jawa_Timur	-	-	 0321869498  	-	K.H Mansur Salim
Pond. Pest. Kyai mojo (Putra-Putri)	Jln. Kh. Abdul Wahab Chasbulloh no. 216 tambakberas. Jmbang Jawa_Timur 	  Udieeeeen@gmail.com	-	 081392546977  	-	Drs. KH. Imron Djamil
Pondok Anak Yatim Insan Kamil Mandiri (Putra)	Jl. Raya Cihanjuang No. 81 B Cimahi Jawa_Barat 	  pay_ikm@yahoo.co.id	-	 022 6632704  	-	H. Asep Ahmad Sukandar, M.MPd
Pondok Buntet Pesantren (Putra-Putri)	Kec. Astanajapura Kab. Cirebon Jawa_Barat 	  redaksi@buntetpesantren.com	  www.buntetpesantren.com 	 	-	KH. Abdullah Ababs (alm) belum ada pengganti
Pondok Darul Falah	jl. anyelir 56 tulungrejo pare kediri Jawa_Timur	-	-	 0354390229  	-	
Pondok Karya pembangunan	jl.Raya PKP, Kelapa dua wetan, Ciracas DKI Jakarta 	  kampuspkp@yahoo.com	  www.pkpdkijakarta.com 	 085781236706/0218718642 	 021-8718642 	KH.Sugeng Wisnu Pratomo,S.Si
pondok Kebon Jambu Al-Islamy (Putra-Putri)	Babakan Ciwaringin Cirebon Luar_Negeri 	-	  http://kebonjambu.org	 	-	K. Asror Muhammad
Pondok Modern Al Kautsar (Putra)	Jl.Hang Tuah Ujung Km.6,5 Pekanbaru Riau 	  alqodrygs03@yahoo.com	-	 076127716-07617074407  	-	Muhammad Hanif,S.H.I
Pondok Modern Arrisalah (Mahasiswa)	Gundik Slahung Ponorogo Jawa_Timur	-	-	 0352-371460 	 0352-371460 	
Pondok Modern Arrisalah Program Internasional (Putra-Putri)	Kota-Santri Slahung Ponorogo Jawa_Timur 	  pm_arrisalah@telkom.net	  www.pmarrisalah.com 	 0352-371005, 006, 007, 460 	 0352 371460 	Drs. K.H. Muhammad Ma'shum Yusuf
Pondok Modern Assalaam (Putra-Putri)	Cibodas Bojonggenteng PO.Box 3 Parungkuda Kabupaten Sukabumi Jawa_Barat	-	-	 (0266) 533638  	-	K.Drs.Badrusyamsi, M.M.Pd. & Ust.Encep Hadiana, S.Pd.I
Pondok Modern Asy-syifa (435)	jl. Soekarno Hatta KM 4.5 RT 87 / RT 25 Batu Ampar kota Balikpapan Kalimantan Timur 	  pmasysyifa@yahoo.co.id	  http://pm-asysyifa.com 	 0542 861676,  	-	KH. Abdurrahman Hasan
Pondok Modern Asy-syifa (560)	Jalan Soekarno ï¾ Hatta KM. 4,5 Batu Ampar Kota Balikpapan, Kalimantan Timur Kalimantan Timur	-	-	 0542861676  	-	KH. Abdurrahman Hasan
Pondok Modern Daarul Hikmah (Putra-Putri)	Jl. Raya Pekayon Km. 1, Ds. Pekayon, Kec. Sukadiri, Kab. Tangerang Banten	-	-	 (021) 5933 1219 / 7026 6233  	-	KH. Afif Afify
pondok modern darul ihsan (Putra-Putri)	payaman nganjuk jawa timur Jawa_Timur	-	-	 0358329660  	-	kh. masruchin
PONDOK MODERN DARUSALAM GONTOR (PUSAT) (Putra)	KEL. GONTOR, KEC. MLARAK, PONOROGO JATIM. Jatim	-	-	 0352 313101- 313102  	-	KH. ABDULLAH SYUKRY ZARKASYI. MA.
PONDOK MODERN DARUSALAM GONTOR PUTERI (Putri)	SAMBIREJO, MANTINGAN NGAWI JAWA TIMUR, Jatim	-	-	 0351672000, 0351762460  	-	Dr. KH. Ahmad Hidayatullah. Z. MA.
pondok modern gontor 6 Darul Qiyam (putra|-|)	magelang jateng	-	-	 	-	KH Syuja'i Slamet,B.A
Pondok Modern Lembah Arafah (Putra-Putri)	Jl. Waru Doyong, Ds. Kuta, Kec. Megamendung, Cisarua - Bogor 16770 Jawa_Barat 	  smpi.arafah	  www.lembaharafah.or.id 	 (0251) 258133, 251112 	 (0251) 256855 	KH. Anwar Sanusi
Pondok Modern Muhammadiyah (Mahasiswa)	JL. Dendles Jawa_Timur	-	-	 0322 662269 	 0322 663369 	KH. Ahmad Munir Safii
Pondok Oesantren Daarul Rahman (Putra-Putri)	Jl. Senopati 35A, Kebayoran Baru, Jakarta Selatan DKI_Jakarta	-	-	 	-	KH. Syukron Ma'mun
Pondok pesantern modern putra putri al-hidayah indramayu (putra-putri)	Jl Talang Tembaga No.41 Kel. Lemahabang Indramayu jawa barat 	  alhidayahindramayu@yahoo.co.id	  - 	 (0234)274420 	 - 	Drs. Rahmat Warmin, M.Ag.
PONDOK PESANTERN MODERN RADEN PAKU TRENGGALEK (Putra-Putri)	JL.KI MANGUN SARKORO 17 B TRENGGALEK Jawa_Timur	-	-	 0355 796030  	-	Drs.H.IMAM DARONI MM,Drs.H.IAM SYAFII.MAg
Pondok PesantreTADZKIROTUL IKHWAN	Lemberang Sokaraja Banyumas Jawa Tengah	-	-	 085647876864  	-	K.Syamsul Qodri el-Falaky
Pondok Pesantren  Nurul Alami (Putra-Putri)	Kp.Panyaweuyan-Dahu-Cikeusal-Serang-Banten Banten	-	-	 081513316960  	-	Amung Permana Yusup dan Mahsun
Pondok Pesantren Al Iman (Putra-Putri)	Jl. Adipurwo, Bulus, Kec. Gebang, Kab. Purworejo, Jawa Tengah 54191 Jawa_Tengah	-	-	 (0275) 322289, 3305081-84  	-	KH. Hasan Agil Ba'abud
Pondok Pesantren Al-Falah (putra-putri)	Tunggulo Kec.Limboto Barat-Kab. Gorontalo Gorontalo 	  pesantrenalfalah@yahoo.com	-	 0435881465 	435881465	Drs.H.Zainul Romiz Koesry,M.Ag dan Drs. H, Muhammad Juwaini
PONDOK PESANTREN AL-ISLAM (Putra-Putri)	Jl. Madura Joresan Mlarak Ponorogo Jawa_Timur 	  info_alislam@yahoo.com	-	 0352311340 	352311340	Drs. Muhammad ALi Fikri, M.Pd.I.
Pondok Pesantren Darussalam Dukuhwaluh (Putra-Putri)	Jalan Sunan Bonang No. 57 Dukuhwaluh Banyumas Jawa Tengah 	  pp-darussalam@sctvonline.com	  pp-darussalam.blogspot.com 	 02816843555  	-	Drs. KH. Chariri Shofa, M.Ag
